time,reference,state
8.45,1104,2253.223
8.46,1104,2251.764
8.47,1104,2250.8
8.48,1104,2250.414
8.49,1104,2250.615
8.5,1104,2251.342
8.51,1104,2252.473
8.52,1104,2253.839
8.53,1104,2255.252
8.54,1104,2256.528
8.55,1104,2257.511
8.56,1104,2258.099
8.57,1104,2258.254
8.58,1104,2258.003
8.59,1104,2257.438
8.6,1104,2256.693
8.61,1104,2255.927
8.62,1104,2255.297
8.63,1104,2254.936
8.64,1104,2254.927
8.65,1104,2255.3
8.66,1104,2256.019
8.67,1104,2256.993
8.68,1104,2258.087
8.69,1104,2259.148
8.7,1104,2260.021
8.71,1104,2260.578
8.72,1104,2260.729
8.73,1104,2260.441
8.74,1104,2259.733
8.75,1104,2258.68
8.76,1104,2257.395
8.77,1104,2256.013
8.78,1104,2254.675
8.79,1104,2253.506
8.8,1104,2252.604
8.81,1104,2252.027
8.82,1104,2251.795
8.83,1104,2251.891
8.84,1104,2252.271
8.85,1104,2252.872
8.86,1104,2253.624
8.87,1104,2254.458
8.88,1104,2255.307
8.89,1104,2256.116
8.9,1104,2256.831
8.91,1104,2257.407
8.92,1104,2257.797
8.93,1104,2257.959
8.94,1104,2257.855
8.95,1104,2257.458
8.96,1104,2256.762
8.97,1104,2255.792
8.98,1136,2254.605
8.99,1136,2253.297
9,1136,2251.991
9.01,1136,2250.826
9.02,1136,2249.942
9.03,1136,2249.457
9.04,1136,2249.451
9.05,1136,2249.953
9.06,1136,2250.934
9.07,1136,2252.309
9.08,1136,2253.944
9.09,1136,2255.679
9.1,1136,2257.346
9.11,1136,2258.792
9.12,1136,2259.901
9.13,1136,2260.608
9.14,1136,2260.9
9.15,1136,2260.818
9.16,1136,2260.442
9.17,1136,2259.874
9.18,1136,2259.219
9.19,1136,2258.569
9.2,1136,2257.989
9.21,1136,2257.509
9.22,1168,2257.125
9.23,1168,2256.802
9.24,1168,2256.484
9.25,1168,2256.105
9.26,1168,2255.595
9.27,1168,2254.896
9.28,1168,2253.966
9.29,1168,2252.788
9.3,1168,2251.381
9.31,1168,2249.795
9.32,1168,2248.117
9.33,1168,2246.465
9.34,1168,2244.975
9.35,1168,2243.79
9.36,1168,2243.043
9.37,1168,2242.84
9.38,1168,2243.244
9.39,1168,2244.265
9.4,1200,2245.86
9.41,1200,2247.93
9.42,1200,2250.334
9.43,1200,2252.905
9.44,1200,2255.46
9.45,1200,2257.827
9.46,1200,2259.85
9.47,1200,2261.41
9.48,1200,2262.428
9.49,1200,2262.869
9.5,1200,2262.743
9.51,1200,2262.101
9.52,1200,2261.026
9.53,1200,2259.633
9.54,1200,2258.052
9.55,1200,2256.427
9.56,1200,2254.897
9.57,1200,2253.594
9.58,1200,2252.625
9.59,1232,2252.069
9.6,1232,2251.964
9.61,1232,2252.308
9.62,1232,2253.059
9.63,1232,2254.136
9.64,1232,2255.43
9.65,1232,2256.814
9.66,1232,2258.156
9.67,1232,2259.333
9.68,1232,2260.241
9.69,1232,2260.813
9.7,1232,2261.017
9.71,1232,2260.863
9.72,1232,2260.395
9.73,1232,2259.688
9.74,1232,2258.831
9.75,1232,2257.918
